figure,sample,party,outcome,term,estimate,std.error,conf.low,conf.high
figure_1,Bilingual Sample,NA,bush_general,Z_ad,0.0489186152657821,0.02321740204495273,0.0033835039888072266,0.09445372654275698
figure_1,Bilingual Sample,NA,vela_general,Z_vela,0.04665884978399645,0.02395087953603724,-3.1789606432233025e-4,0.09363559563231524
figure_1,Bilingual Sample,NA,coffman_general,Z_coffman,0.002908477268215223,0.023619252462704455,-0.04341780237387224,0.04923475691030268
figure_1,Bilingual Sample,NA,like_vela,Z_vela,0.06354927117257542,0.06752862527332446,-0.06889993856012835,0.1959984809052792
figure_1,Bilingual Sample,NA,like_coffman,Z_coffman,0.018827097389762883,0.0772833865719201,-0.13275489373602717,0.17040908851555292
figure_1,Bilingual Sample,NA,like_bush,Z_ad,0.1652771237847283,0.07541194249188195,0.01737618944650679,0.31317805812294985
figure_1,Bilingual Sample,NA,vela_cares,Z_vela,0.01822742024440312,0.016822948190743623,-0.01476875262628025,0.051223593115086494
figure_1,Bilingual Sample,NA,coffman_cares,Z_coffman,0.03485994684113683,0.02139782046742828,-0.007109283236358947,0.07682917691863261
figure_1,Bilingual Sample,NA,bush_cares,Z_ad,0.03765160787804614,0.020458643381440676,-0.0024727625821606217,0.0777759783382529
figure_1,Bilingual Sample,NA,conf_in_vela,Z_vela,0.10243282750446336,0.03783368928450847,0.028226633809220164,0.17663902119970656
figure_1,Bilingual Sample,NA,conf_in_coffman,Z_coffman,0.03101208244491889,0.04093829732348494,-0.04928345800481353,0.1113076228946513
figure_1,Bilingual Sample,NA,conf_in_bush,Z_ad,0.07596949020169584,0.041504155584146156,-0.005430157348547807,0.1573691377519395
figure_1,Monolingual Sample,NA,vela_general,Z_vela,-0.020117542692392822,0.026142251316309578,-0.07140170127238306,0.031166615887597417
figure_1,Monolingual Sample,NA,coffman_general,Z_coffman,-0.1872416171595141,0.02645251048376894,-0.23913442187913328,-0.1353488124398949
figure_1,Monolingual Sample,NA,like_vela,Z_vela,-0.4722861121368104,0.06956345311144738,-0.6087513282075085,-0.33582089606611226
figure_1,Monolingual Sample,NA,like_coffman,Z_coffman,-0.8298671777500422,0.07375969582270482,-0.9745642216944845,-0.6851701338055998
figure_1,Monolingual Sample,NA,vela_cares,Z_vela,-0.15201663872627613,0.02465573417346855,-0.20038487449473058,-0.10364840295782168
figure_1,Monolingual Sample,NA,coffman_cares,Z_coffman,-0.15519432692912263,0.02388982213479516,-0.20206000755880077,-0.1083286462994445
figure_1,Monolingual Sample,NA,conf_in_vela,Z_vela,-0.1602346237640353,0.04695249649205393,-0.2523432714700185,-0.06812597605805211
figure_1,Monolingual Sample,NA,conf_in_coffman,Z_coffman,-0.31014622768458006,0.04409709738146659,-0.39665332125847197,-0.22363913411068814
figure_2,Bilingual Sample,Democratic Respondents,vela_general,Z_vela,0.06364598291890249,0.025919600042753593,0.01278455913496903,0.11450740670283593
figure_2,Bilingual Sample,Democratic Respondents,coffman_general,Z_coffman,-0.0026982228815354793,0.026928317557411194,-0.05553902940697152,0.05014258364390057
figure_2,Bilingual Sample,Democratic Respondents,like_vela,Z_vela,0.11574578940991222,0.08197458904909806,-0.045111210735072696,0.27660278955489714
figure_2,Bilingual Sample,Democratic Respondents,like_coffman,Z_coffman,0.14613923284187508,0.10235519005687123,-0.05470995809396323,0.3469884237777134
figure_2,Bilingual Sample,Democratic Respondents,vela_cares,Z_vela,0.039615297407603556,0.017343878469453344,0.005581811110096965,0.07364878370511015
figure_2,Bilingual Sample,Democratic Respondents,coffman_cares,Z_coffman,0.0780516787260452,0.02843845893051647,0.02224755717165553,0.13385580028043487
figure_2,Bilingual Sample,Democratic Respondents,conf_in_vela,Z_vela,0.10980273599879063,0.0421808056156561,0.02703232957172877,0.1925731424258525
figure_2,Bilingual Sample,Democratic Respondents,conf_in_coffman,Z_coffman,0.12843737559477597,0.0522354215905908,0.025936913978085965,0.230937837211466
figure_2,Monolingual Sample,Democratic Respondents,vela_general,Z_vela,-0.04365998710262944,0.04025262492830188,-0.12271951821811991,0.035399544012861044
figure_2,Monolingual Sample,Democratic Respondents,coffman_general,Z_coffman,-0.14051086178085445,0.033396504211530426,-0.20610439682516601,-0.07491732673654289
figure_2,Monolingual Sample,Democratic Respondents,like_vela,Z_vela,-0.6084372003835093,0.10242021502196715,-0.8095998261639151,-0.40727457460310357
