claim,estimate_pp,std_error_pp
p13_general_bush_bilingual,4.896649860286413,2.322386529140922
p13_general_vela_bilingual,4.855036917379873,2.39042736077789
p13_general_vela_monolingual,-2.011754269239282,2.614225131630957
p13_general_coffman_bilingual,0.270556056502625,2.36239175783759
p13_general_coffman_monolingual,-18.72416171595141,2.645251048376894
p13_survey_language_vela_bilingual,7.2957969612858875,2.390292897354181
p14_cares_vela_monolingual,-15.201663872627613,2.465573417346855
p14_cares_coffman_monolingual,-15.519432692912263,2.388982213479516
p16_coffman_monolingual_democrat,-14.051086178085445,3.339650421153042
p16_coffman_monolingual_republican,-16.77746441042175,3.9992384581184024
p17_linked_fate_bush_bilingual,0.24272228320526923,0.04030021104028934
p17_linked_fate_vela_coffman_bilingual,0.13110568289174684,0.04126566016011654
appendixC_ame_minus_ols_c9_bush_bilingual,-7.392824859231428e-9,NA
appendixC_ame_minus_ols_c9_vela_bilingual,-1.5713118386995184e-6,NA
appendixC_ame_minus_ols_c9_vela_monolingual,1.5959455978986625e-14,NA
appendixC_ame_minus_ols_c9_coffman_bilingual,-2.5659003469701014e-8,NA
appendixC_ame_minus_ols_c9_coffman_monolingual,7.4495964952348e-14,NA
appendixC_ame_minus_ols_c10_bush_bilingual,-4.7087459886796523e-7,NA
appendixC_ame_minus_ols_c10_vela_bilingual,1.4282889489077022e-6,NA
appendixC_ame_minus_ols_c10_vela_monolingual,2.0794477251229182e-13,NA
appendixC_ame_minus_ols_c10_coffman_bilingual,1.1192186392741665e-6,NA
appendixC_ame_minus_ols_c10_coffman_monolingual,-2.9726221484338566e-14,NA
