table,candidate,sample,outcome,term,estimate,std.error,conf.low,conf.high
c9,bush,bilingual,bush_general,Z_ad,0.04896649121003927,0.023205239404289733,0.003485057725001711,0.09444792469507683
c9,bush,bilingual,bush_general,Z_survey,0.005414831346436832,0.02320919582165153,-0.04007435657413766,0.050904019267011325
c9,vela,bilingual,vela_general,Z_survey,0.07295460595506598,0.02387093082659357,0.02616844125749565,0.1197407706526363
c9,vela,bilingual,vela_general,Z_vela,0.04854879786196003,0.023873633409031793,0.0017573362001455373,0.09534025952377452
c9,vela,monolingual,vela_general,Z_vela,-0.020117542692376866,0.026122775864306245,-0.07131724256262928,0.03108215717787554
c9,coffman,bilingual,coffman_general,Z_coffman,0.0027055349060227875,0.023595837106836822,-0.043541456008451156,0.04895252582049673
c9,coffman,bilingual,coffman_general,Z_survey,-0.027790433853949265,0.023581709720650816,-0.07400973560030295,0.01842886789240442
c9,coffman,monolingual,coffman_general,Z_coffman,-0.1872416171594396,0.026432755985635915,-0.23904886690342153,-0.13543436741545767
c10,bush,bilingual,bush_cares,Z_ad,0.0373655207777367,0.02043229500751248,-0.0026810415584853017,0.0774120831139587
c10,bush,bilingual,bush_cares,Z_survey,-0.03474506909901297,0.02043515830262775,-0.074797243390538,0.005307105192512075
c10,vela,bilingual,vela_cares,Z_survey,-0.023988881248516725,0.016894557008272602,-0.05710160451948978,0.009123842022456329
c10,vela,bilingual,vela_cares,Z_vela,0.017606829888975675,0.01680877695287854,-0.015337767562833164,0.050551427340784515
c10,vela,monolingual,vela_cares,Z_vela,-0.1520166387260682,0.02463723699404293,-0.20030473591297018,-0.10372854153916619
c10,coffman,bilingual,coffman_cares,Z_coffman,0.03455980441195729,0.0213585632782172,-0.007302210374868161,0.07642181919878274
c10,coffman,bilingual,coffman_cares,Z_survey,-0.04487610000438738,0.021453350804873386,-0.08692389492964259,-0.002828305079132176
c10,coffman,monolingual,coffman_cares,Z_coffman,-0.15519432692915236,0.023871613653891868,-0.201981829943635,-0.10840682391466971
