table,candidate,sample,outcome,term,estimate,std.error,p.value,n,log_likelihood,aic
c9,bush,bilingual,bush_general,(Intercept),-0.20275960065738746,0.08104115937812473,0.012351708381895837,1849,-1277.4300480193044,2560.860096038609
c9,bush,bilingual,bush_general,Z_ad,0.19646038139478122,0.09326007542491084,0.035153470031412726,1849,-1277.4300480193044,2560.860096038609
c9,bush,bilingual,bush_general,Z_survey,0.02175744821990036,0.09325866225797423,0.8155267741484783,1849,-1277.4300480193044,2560.860096038609
c9,vela,bilingual,vela_general,(Intercept),0.13686247954836564,0.08419154113993349,0.10403297939216852,1680,-1128.4343574194006,2262.868714838801
c9,vela,bilingual,vela_general,Z_vela,0.20260591314370163,0.09985663552845041,0.04246155478752492,1680,-1128.4343574194006,2262.868714838801
c9,vela,bilingual,vela_general,Z_survey,0.30415961224845467,0.10005402130998967,0.0023661436354470407,1680,-1128.4343574194006,2262.868714838801
c9,vela,monolingual,vela_general,(Intercept),-0.5497348589538013,0.07990638909379702,5.9963595738721165e-12,1343,-874.042622018003,1752.085244036006
c9,vela,monolingual,vela_general,Z_vela,-0.08778062561990527,0.1140279060670713,0.44140842771262295,1343,-874.042622018003,1752.085244036006
c9,coffman,bilingual,coffman_general,(Intercept),-0.47116105556522403,0.08475390087025766,2.7106584958890926e-8,1681,-1109.1277329018124,2224.2554658036247
c9,coffman,bilingual,coffman_general,Z_coffman,0.011584956444685136,0.1010303149707002,0.9087081824747573,1681,-1109.1277329018124,2224.2554658036247
c9,coffman,bilingual,coffman_general,Z_survey,-0.11903196218044308,0.10113541641000674,0.23921296198513517,1681,-1109.1277329018124,2224.2554658036247
c9,coffman,monolingual,coffman_general,(Intercept),0.05071509257901399,0.07508279535058131,0.49938636807265935,1343,-891.2648175333297,1786.5296350666595
c9,coffman,monolingual,coffman_general,Z_coffman,-0.7796229370177254,0.11328597443446507,5.905877473880211e-12,1343,-891.2648175333297,1786.5296350666595
c10,bush,bilingual,bush_cares,(Intercept),1.0203627595418574,0.09133208432440265,5.59027376332051e-29,1858,-1068.7700929569605,2143.540185913921
c10,bush,bilingual,bush_cares,Z_ad,0.1928247526413389,0.1055153732273194,0.06763116380221325,1858,-1068.7700929569605,2143.540185913921
c10,bush,bilingual,bush_cares,Z_survey,-0.17930034652797688,0.10549894942598191,0.08921630324639354,1858,-1068.7700929569605,2143.540185913921
c10,vela,bilingual,vela_cares,(Intercept),1.8604489747723918,0.12190667393290913,1.3855516767137483e-52,1680,-672.9052656468963,1351.8105312937926
c10,vela,bilingual,vela_cares,Z_vela,0.14845455636850086,0.14201757457922673,0.29587267239523346,1680,-672.9052656468963,1351.8105312937926
c10,vela,bilingual,vela_cares,Z_survey,-0.2014701305225887,0.1416698498543043,0.15499427852856987,1680,-672.9052656468963,1351.8105312937926
c10,vela,monolingual,vela_cares,(Intercept),1.2680889389723828,0.09304776923174851,2.7159799556768482e-42,1336,-791.5704122600298,1587.1408245200596
c10,vela,monolingual,vela_cares,Z_vela,-0.7427352146434782,0.12299094978972754,1.5512796960630413e-9,1336,-791.5704122600298,1587.1408245200596
c10,coffman,bilingual,coffman_cares,(Intercept),1.0724276546108553,0.09430179339325578,5.745780014041746e-30,1680,-960.4730615498946,1926.9461230997892
c10,coffman,bilingual,coffman_cares,Z_coffman,0.1803143451856564,0.11179340955874216,0.10676088062645812,1680,-960.4730615498946,1926.9461230997892
c10,coffman,bilingual,coffman_cares,Z_survey,-0.23305225942972402,0.11138392440858169,0.036408738696973975,1680,-960.4730615498946,1926.9461230997892
c10,coffman,monolingual,coffman_cares,(Intercept),1.4826449433069524,0.09678165574369821,5.666631176695785e-53,1337,-742.3886885747839,1488.7773771495679
c10,coffman,monolingual,coffman_cares,Z_coffman,-0.8203424380982351,0.12825452283056987,1.5928435020097003e-10,1337,-742.3886885747839,1488.7773771495679
