table,candidate,sample,party,outcome,term,estimate,std.error,conf.low,conf.high,n
b5,vela,bilingual,democrat,vela_general,(Intercept),0.7442748091603073,0.019076670184652908,0.7068411062849722,0.7817085120356424,1029
b5,vela,bilingual,democrat,vela_general,Z_vela,0.06364598291890249,0.025919600042753593,0.01278455913496903,0.11450740670283593,1029
b5,coffman,bilingual,democrat,coffman_general,(Intercept),0.2481343283582086,0.018673970261413774,0.2114908341056856,0.2847778226107316,1029
b5,coffman,bilingual,democrat,coffman_general,Z_coffman,-0.0026982228815354793,0.026928317557411194,-0.05553902940697152,0.05014258364390057,1029
b5,vela,bilingual,republican,vela_general,(Intercept),0.29166666666666663,0.035172561963882125,0.22247824713656073,0.36085508619677253,335
b5,vela,bilingual,republican,vela_general,Z_vela,-0.01022954091816367,0.049551627154422156,-0.10770321290941896,0.08724413107309163,335
b5,coffman,bilingual,republican,coffman_general,(Intercept),0.7714285714285725,0.03183348654463749,0.7088084920491384,0.8340486508080065,335
b5,coffman,bilingual,republican,coffman_general,Z_coffman,0.02232142857142857,0.04519955091948885,-0.06659121574493698,0.11123407288779413,335
b5,vela,monolingual,democrat,vela_general,(Intercept),0.6476868327402123,0.028547491723389957,0.5916171648814169,0.7037565005990077,579
b5,vela,monolingual,democrat,vela_general,Z_vela,-0.04365998710262944,0.04025262492830188,-0.12271951821811991,0.035399544012861044,579
b5,coffman,monolingual,democrat,coffman_general,(Intercept),0.2813559322033897,0.026224746298608225,0.2298483311541747,0.33286353325260476,579
b5,coffman,monolingual,democrat,coffman_general,Z_coffman,-0.14051086178085445,0.033396504211530426,-0.20610439682516601,-0.07491732673654289,579
b5,vela,monolingual,republican,vela_general,(Intercept),0.13779527559055113,0.02167015922534215,0.09521715990634737,0.18037339127475488,491
b5,vela,monolingual,republican,vela_general,Z_vela,-0.011212997109538533,0.030627879612564055,-0.07139148438989806,0.048965490170821,491
b5,coffman,monolingual,republican,coffman_general,(Intercept),0.8161764705882367,0.023529242185193068,0.7699455783596643,0.8624073628168092,491
b5,coffman,monolingual,republican,coffman_general,Z_coffman,-0.1677746441042175,0.03999238458118402,-0.24635276434218426,-0.08919652386625074,491
b6,vela,bilingual,democrat,like_vela,(Intercept),5.316793893129771,0.05735155943473359,5.20425414256411,5.429333643695432,1028
b6,vela,bilingual,democrat,like_vela,Z_vela,0.11574578940991222,0.08197458904909806,-0.045111210735072696,0.27660278955489714,1028
b6,coffman,bilingual,democrat,like_coffman,(Intercept),4.722014925373145,0.0722662904701759,4.58020847701616,4.86382137373013,1029
b6,coffman,bilingual,democrat,like_coffman,Z_coffman,0.14613923284187508,0.10235519005687123,-0.05470995809396323,0.3469884237777134,1029
b6,vela,bilingual,republican,like_vela,(Intercept),4.791666666666668,0.10938762283400608,4.576488803086188,5.006844530247148,335
b6,vela,bilingual,republican,like_vela,Z_vela,-0.24675648702594868,0.15993706142617867,-0.5613708308923401,0.06785785684044274,335
b6,coffman,bilingual,republican,like_coffman,(Intercept),5.6342857142857135,0.11150475270442255,5.414943216072576,5.853628212498851,335
b6,coffman,bilingual,republican,like_coffman,Z_coffman,-0.3030357142857147,0.15932088003750797,-0.6164379594579658,0.010366530886536385,335
b6,vela,monolingual,democrat,like_vela,(Intercept),5.128571428571422,0.0776784426845929,4.976003895945036,5.281138961197808,578
b6,vela,monolingual,democrat,like_vela,Z_vela,-0.6084372003835093,0.10242021502196715,-0.8095998261639151,-0.40727457460310357,578
b6,coffman,monolingual,democrat,like_coffman,(Intercept),4.969491525423723,0.08581682215991682,4.800940089737994,5.138042961109452,579
b6,coffman,monolingual,democrat,like_coffman,Z_coffman,-0.701885891620912,0.11405724247148603,-0.9259038811603063,-0.47786790208151764,579
b6,vela,monolingual,republican,like_vela,(Intercept),4.4370078740157455,0.08146637460042298,4.27694053505254,4.597075212978951,491
b6,vela,monolingual,republican,like_vela,Z_vela,-0.399033190471445,0.11838338541043486,-0.6316360720044296,-0.16643030893846028,491
b6,coffman,monolingual,republican,like_coffman,(Intercept),5.466911764705877,0.08331813634802283,5.303205201792215,5.630618327619539,490
b6,coffman,monolingual,republican,like_coffman,Z_coffman,-1.0036090124123043,0.12273401704834816,-1.244761358879168,-0.7624566659454406,490
b7,vela,bilingual,democrat,vela_cares,(Intercept),0.8950381679389348,0.013402494407787274,0.8687387672262743,0.9213375686515952,1029
b7,vela,bilingual,democrat,vela_cares,Z_vela,0.039615297407603556,0.017343878469453344,0.005581811110096965,0.07364878370511015,1029
b7,coffman,bilingual,democrat,coffman_cares,(Intercept),0.662313432835822,0.02044616132978167,0.6221924095780025,0.7024344560936415,1029
b7,coffman,bilingual,democrat,coffman_cares,Z_coffman,0.0780516787260452,0.02843845893051647,0.02224755717165553,0.13385580028043487,1029
b7,vela,bilingual,republican,vela_cares,(Intercept),0.7738095238095248,0.032373969793444236,0.7101262525646295,0.8374927950544202,335
b7,vela,bilingual,republican,vela_cares,Z_vela,-0.04925862560593114,0.047437794707053206,-0.14257414936973867,0.04405689815787639,335
b7,coffman,bilingual,republican,coffman_cares,(Intercept),0.8800000000000012,0.02463527048205765,0.8315396282164352,0.9284603717835672,335
b7,coffman,bilingual,republican,coffman_cares,Z_coffman,-0.054999999999999834,0.03892191438828093,-0.13156382109374243,0.021563821093742767,335
b7,vela,monolingual,democrat,vela_cares,(Intercept),0.8718861209964418,0.0199732600717471,0.8326565322069079,0.9111157097859757,576
b7,vela,monolingual,democrat,vela_cares,Z_vela,-0.1125640870981361,0.031945842319174474,-0.1753090898275219,-0.049819084368750294,576
b7,coffman,monolingual,democrat,coffman_cares,(Intercept),0.7815699658703068,0.024179576058224413,0.7340785538381084,0.8290613779025052,575
b7,coffman,monolingual,democrat,coffman_cares,Z_coffman,-0.1326337956575411,0.037354948441898954,-0.20600312370629867,-0.05926446760878354,575
b7,vela,monolingual,republican,vela_cares,(Intercept),0.7086614173228346,0.028566572474277765,0.6525327567578171,0.7647900778878521,490
