sample,outcome,term,estimate,std.error,conf.low,conf.high,df
Bilingual Sample,bush_general,Z_ad,0.0489186152657821,0.02321740204495273,0.0033835039888072266,0.09445372654275698,1847
Bilingual Sample,vela_general,Z_vela,0.04665884978399645,0.02395087953603724,-3.1789606432233025e-4,0.09363559563231524,1678
Bilingual Sample,coffman_general,Z_coffman,0.002908477268215223,0.023619252462704455,-0.04341780237387224,0.04923475691030268,1679
Bilingual Sample,like_vela,Z_vela,0.06354927117257542,0.06752862527332446,-0.06889993856012835,0.1959984809052792,1678
Bilingual Sample,like_coffman,Z_coffman,0.018827097389762883,0.0772833865719201,-0.13275489373602717,0.17040908851555292,1678
Bilingual Sample,like_bush,Z_ad,0.1652771237847283,0.07541194249188195,0.01737618944650679,0.31317805812294985,1860
Bilingual Sample,vela_cares,Z_vela,0.01822742024440312,0.016822948190743623,-0.01476875262628025,0.051223593115086494,1678
Bilingual Sample,coffman_cares,Z_coffman,0.03485994684113683,0.02139782046742828,-0.007109283236358947,0.07682917691863261,1678
Bilingual Sample,bush_cares,Z_ad,0.03765160787804614,0.020458643381440676,-0.0024727625821606217,0.0777759783382529,1856
Bilingual Sample,conf_in_vela,Z_vela,0.10243282750446336,0.03783368928450847,0.028226633809220164,0.17663902119970656,1678
Bilingual Sample,conf_in_coffman,Z_coffman,0.03101208244491889,0.04093829732348494,-0.04928345800481353,0.1113076228946513,1677
Bilingual Sample,conf_in_bush,Z_ad,0.07596949020169584,0.041504155584146156,-0.005430157348547807,0.1573691377519395,1859
Monolingual Sample,vela_general,Z_vela,-0.020117542692392822,0.026142251316309578,-0.07140170127238306,0.031166615887597417,1341
Monolingual Sample,coffman_general,Z_coffman,-0.1872416171595141,0.02645251048376894,-0.23913442187913328,-0.1353488124398949,1341
Monolingual Sample,like_vela,Z_vela,-0.4722861121368104,0.06956345311144738,-0.6087513282075085,-0.33582089606611226,1339
Monolingual Sample,like_coffman,Z_coffman,-0.8298671777500422,0.07375969582270482,-0.9745642216944845,-0.6851701338055998,1340
Monolingual Sample,vela_cares,Z_vela,-0.15201663872627613,0.02465573417346855,-0.20038487449473058,-0.10364840295782168,1334
Monolingual Sample,coffman_cares,Z_coffman,-0.15519432692912263,0.02388982213479516,-0.20206000755880077,-0.1083286462994445,1335
Monolingual Sample,conf_in_vela,Z_vela,-0.1602346237640353,0.04695249649205393,-0.2523432714700185,-0.06812597605805211,1336
Monolingual Sample,conf_in_coffman,Z_coffman,-0.31014622768458006,0.04409709738146659,-0.39665332125847197,-0.22363913411068814,1336
