candidate,sample,outcome,term,estimate,std.error,conf.low,conf.high,n
bush,bilingual,like_bush,(Intercept),4.810101323840313,0.06342592393567516,4.685707807546619,4.934494840134008,1862
bush,bilingual,like_bush,Z_ad,0.16681094744208505,0.07532993746018998,0.01907079292166372,0.31455110196250635,1862
bush,bilingual,like_bush,Z_survey,0.1649721017920034,0.07546236595153992,0.01697222309770649,0.31297198048630026,1862
vela,bilingual,like_vela,(Intercept),4.994446686686978,0.05685053738332083,4.88294120349648,5.105952169877477,1680
vela,bilingual,like_vela,Z_vela,0.06760489231253662,0.0674695434370164,-0.06472849252181719,0.19993827714689044,1680
vela,bilingual,like_vela,Z_survey,0.149426641688701,0.06745376331504367,0.017124207663369667,0.2817290757140324,1680
vela,monolingual,like_vela,(Intercept),4.712166172106834,0.05074739215359186,4.61261312340798,4.8117192208056885,1341
vela,monolingual,like_vela,Z_vela,-0.4722861121368104,0.06956345311144738,-0.6087513282075085,-0.33582089606611226,1341
coffman,bilingual,like_coffman,(Intercept),4.901791434591623,0.06603110441680671,4.772279374679972,5.031303494503275,1680
coffman,bilingual,like_coffman,Z_coffman,0.019449457277893937,0.07728247254898762,-0.13213080634613122,0.1710297209019191,1680
coffman,bilingual,like_coffman,Z_survey,0.09270950902074274,0.07772749481994262,-0.059743612198607965,0.24516263024009344,1680
coffman,monolingual,like_coffman,(Intercept),5.160563380281694,0.05443620461391845,5.05377392293195,5.267352837631438,1342
coffman,monolingual,like_coffman,Z_coffman,-0.8298671777500422,0.07375969582270482,-0.9745642216944845,-0.6851701338055998,1342
